;filename;fullfilename;sample_id;channel2;richness;abundance;erirub;fricoe;perate;phycol;regreg;sylatr;turmer;turphi;nROI;aROI;ACI;H;NDSI;ADI;BI
3356;evascape_wind_pw01_rich7_ab1_n7;Database_20240315_Desync/evascape_wind_pw01_rich7_ab1_n7.wav;7;wind_pw01;7;1;1;1;1;1;1;1;1;0;204.077743902439;1.2318373741773132;314.86557;0.7889208177010176;-0.10498706;0.7635728733995318;44.492278911564625
3357;evascape_wind_pw01_rich7_ab1_n8;Database_20240315_Desync/evascape_wind_pw01_rich7_ab1_n8.wav;8;wind_pw01;7;1;1;1;1;0;1;1;1;1;224.08536585365854;2.7361519429926444;338.4974;0.8425181073928741;0.16688818;1.267713903705125;53.80478458049887
3358;evascape_wind_pw01_rich7_ab1_n9;Database_20240315_Desync/evascape_wind_pw01_rich7_ab1_n9.wav;9;wind_pw01;7;1;1;1;1;0;1;1;1;1;222.0846036585366;2.3801206204026326;333.24695;0.8560910015340213;0.31692925;1.558800988589892;49.808356009070295
3359;evascape_wind_pw01_rich7_ab1_n10;Database_20240315_Desync/evascape_wind_pw01_rich7_ab1_n10.wav;10;wind_pw01;7;1;0;1;1;1;1;1;1;1;306.1166158536585;3.3505583381726676;339.84158;0.8392611592074326;0.46700418;1.8360220719020826;67.62407596371882
3360;evascape_wind_pw02_rich7_ab1_n1;Database_20240315_Desync/evascape_wind_pw02_rich7_ab1_n1.wav;1;wind_pw02;7;1;1;1;1;1;1;0;1;1;221.0842225609756;1.3257507017034456;331.7414;0.7728918802982324;-0.15064985;0.7121561228574392;49.537244897959184
3361;evascape_wind_pw02_rich7_ab1_n2;Database_20240315_Desync/evascape_wind_pw02_rich7_ab1_n2.wav;2;wind_pw02;7;1;0;1;1;1;1;1;1;1;188.0716463414634;1.2692665989159893;318.46426;0.7880646108123606;-0.17323704;0.644687444892345;44.91117063492064
3362;evascape_wind_pw02_rich7_ab1_n3;Database_20240315_Desync/evascape_wind_pw02_rich7_ab1_n3.wav;3;wind_pw02;7;1;1;1;1;1;0;1;1;1;223.08498475609755;1.375391683604336;318.7592;0.8437464348052529;0.15186517;1.2037144608963226;41.71849489795918
3363;evascape_wind_pw02_rich7_ab1_n4;Database_20240315_Desync/evascape_wind_pw02_rich7_ab1_n4.wav;4;wind_pw02;7;1;1;1;1;1;1;1;0;1;142.05411585365854;0.6394348262679055;314.68576;0.8306205222742289;-0.14675023;1.1542440742068532;37.453622448979594
3364;evascape_wind_pw02_rich7_ab1_n5;Database_20240315_Desync/evascape_wind_pw02_rich7_ab1_n5.wav;5;wind_pw02;7;1;1;1;0;1;1;1;1;1;227.08650914634146;1.2488884654471546;322.31546;0.8353970009079699;0.004819313;0.8534411050438074;42.644078798185944
3365;evascape_wind_pw02_rich7_ab1_n6;Database_20240315_Desync/evascape_wind_pw02_rich7_ab1_n6.wav;6;wind_pw02;7;1;1;1;1;0;1;1;1;1;233.0887957317073;1.3783028455284552;324.1401;0.8224467493436074;0.11840925;1.0706834901026532;41.55766723356009
3366;evascape_wind_pw02_rich7_ab1_n7;Database_20240315_Desync/evascape_wind_pw02_rich7_ab1_n7.wav;7;wind_pw02;7;1;1;1;1;1;1;1;1;0;203.07736280487805;0.9007588680797523;314.70688;0.8079321837193051;0.13303185;1.1337252291203324;35.21266156462585
3367;evascape_wind_pw02_rich7_ab1_n8;Database_20240315_Desync/evascape_wind_pw02_rich7_ab1_n8.wav;8;wind_pw02;7;1;1;0;1;1;1;1;1;1;395.1505335365854;2.1563392252226095;326.48068;0.7917488307524249;-0.04636632;0.9617713135977061;55.80863378684807
3368;evascape_wind_pw02_rich7_ab1_n9;Database_20240315_Desync/evascape_wind_pw02_rich7_ab1_n9.wav;9;wind_pw02;7;1;1;1;1;1;1;1;0;1;248.09451219512195;4.110674058749516;357.34497;0.7748694862622907;0.31460753;1.8262059584859387;83.23349206349206
3369;evascape_wind_pw02_rich7_ab1_n10;Database_20240315_Desync/evascape_wind_pw02_rich7_ab1_n10.wav;10;wind_pw02;7;1;1;1;1;1;1;0;1;1;150.05716463414635;1.2051454219899342;331.48734;0.831975952741748;0.024514686;0.9164822000175945;47.985566893424036
3370;evascape_wind_pw03_rich7_ab1_n1;Database_20240315_Desync/evascape_wind_pw03_rich7_ab1_n1.wav;1;wind_pw03;7;1;1;0;1;1;1;1;1;1;285.108612804878;1.8687013042005418;325.36697;0.7410951335499927;-0.038796794;1.3015324928400058;54.76856009070295
3371;evascape_wind_pw03_rich7_ab1_n2;Database_20240315_Desync/evascape_wind_pw03_rich7_ab1_n2.wav;2;wind_pw03;7;1;1;1;1;1;1;0;1;1;181.0689786585366;1.1097198025551684;317.2177;0.7095993205314609;-0.14080617;1.0534307747969323;63.57423469387755
3372;evascape_wind_pw03_rich7_ab1_n3;Database_20240315_Desync/evascape_wind_pw03_rich7_ab1_n3.wav;3;wind_pw03;7;1;1;1;1;1;0;1;1;1;285.108612804878;2.23410883662408;332.17383;0.6701880526429206;-0.1247629;0.5205534057377295;59.038463718820864
3373;evascape_wind_pw03_rich7_ab1_n4;Database_20240315_Desync/evascape_wind_pw03_rich7_ab1_n4.wav;4;wind_pw03;7;1;0;1;1;1;1;1;1;1;205.078125;1.0109293336236935;317.26688;0.7011455101320924;-0.1729301;0.5274489785696752;61.41323696145125
3374;evascape_wind_pw03_rich7_ab1_n5;Database_20240315_Desync/evascape_wind_pw03_rich7_ab1_n5.wav;5;wind_pw03;7;1;1;1;1;0;1;1;1;1;192.0731707317073;0.9089630516840882;320.0959;0.7195396336369888;-0.1649322;0.7425436338197176;46.972276077097504
3375;evascape_wind_pw03_rich7_ab1_n6;Database_20240315_Desync/evascape_wind_pw03_rich7_ab1_n6.wav;6;wind_pw03;7;1;1;1;1;1;1;1;1;0;137.05221036585365;0.47610730013550134;311.10272;0.7670711379805125;-0.18503411;0.40754721971813807;43.76890589569161
3376;evascape_wind_pw03_rich7_ab1_n7;Database_20240315_Desync/evascape_wind_pw03_rich7_ab1_n7.wav;7;wind_pw03;7;1;1;1;0;1;1;1;1;1;220.08384146341464;1.167527160762679;321.61713;0.7092401768202844;-0.1269057;0.6657159807015562;66.39569727891157
3377;evascape_wind_pw03_rich7_ab1_n8;Database_20240315_Desync/evascape_wind_pw03_rich7_ab1_n8.wav;8;wind_pw03;7;1;1;1;1;1;1;1;0;1;170.06478658536585;1.6835967745838172;334.29126;0.7236382741925548;-0.06769278;1.2384683809627988;71.16395124716553
3378;evascape_wind_pw03_rich7_ab1_n9;Database_20240315_Desync/evascape_wind_pw03_rich7_ab1_n9.wav;9;wind_pw03;7;1;1;0;1;1;1;1;1;1;270.1028963414634;2.1355830187766163;361.57263;0.6928716107421726;-0.028555715;1.7256082033127924;75.0087925170068
3379;evascape_wind_pw03_rich7_ab1_n10;Database_20240315_Desync/evascape_wind_pw03_rich7_ab1_n10.wav;10;wind_pw03;7;1;0;1;1;1;1;1;1;1;155.0590701219512;0.501286960414247;307.85547;0.6921799501888516;-0.35143515;0.47113952208305643;45.62964002267574
3380;evascape_aircraft_pw01_rich7_ab1_n1;Database_20240315_Desync/evascape_aircraft_pw01_rich7_ab1_n1.wav;1;aircraft_pw01;7;1;1;1;1;0;1;1;1;1;275.1048018292683;1.7254872604529619;326.35437;0.6780170189563878;-0.42509174;0.35328401388698566;45.464926303854874
3381;evascape_aircraft_pw01_rich7_ab1_n2;Database_20240315_Desync/evascape_aircraft_pw01_rich7_ab1_n2.wav;2;aircraft_pw01;7;1;1;0;1;1;1;1;1;1;194.07393292682926;1.3787565331010454;321.95404;0.6681193658916665;-0.35811722;0.8278967355894834;42.003676303854874
3382;evascape_aircraft_pw01_rich7_ab1_n3;Database_20240315_Desync/evascape_aircraft_pw01_rich7_ab1_n3.wav;3;aircraft_pw01;7;1;1;1;1;1;1;1;0;1;243.09260670731706;1.3248433265582655;323.40662;0.7873600522062906;0.049259383;1.1852608296950031;43.263511904761906
3383;evascape_aircraft_pw01_rich7_ab1_n4;Database_20240315_Desync/evascape_aircraft_pw01_rich7_ab1_n4.wav;4;aircraft_pw01;7;1;1;1;1;1;0;1;1;1;258.0983231707317;2.058720782520325;326.857;0.7010514270341933;-0.19516982;0.8909673468155375;49.72401927437642
3384;evascape_aircraft_pw01_rich7_ab1_n5;Database_20240315_Desync/evascape_aircraft_pw01_rich7_ab1_n5.wav;5;aircraft_pw01;7;1;1;1;0;1;1;1;1;1;205.078125;1.8248448388501741;322.27036;0.680251134477111;-0.33699042;0.6163668430515047;42.24844671201814
3385;evascape_aircraft_pw01_rich7_ab1_n6;Database_20240315_Desync/evascape_aircraft_pw01_rich7_ab1_n6.wav;6;aircraft_pw01;7;1;1;1;1;1;1;1;1;0;203.07736280487805;0.982725089527681;313.03156;0.8328500469390229;0.11881406;1.3051986758112382;36.57234126984127
3386;evascape_aircraft_pw01_rich7_ab1_n7;Database_20240315_Desync/evascape_aircraft_pw01_rich7_ab1_n7.wav;7;aircraft_pw01;7;1;0;1;1;1;1;1;1;1;142.05411585365854;0.7772424264421216;315.93756;0.7582341324949836;-0.117201954;0.6656489380034716;35.013492063492066
3387;evascape_aircraft_pw01_rich7_ab1_n8;Database_20240315_Desync/evascape_aircraft_pw01_rich7_ab1_n8.wav;8;aircraft_pw01;7;1;1;1;1;1;1;0;1;1;155.0590701219512;0.7157299530584592;309.88574;0.6875992637816573;-0.31672975;0.51178977602494;34.56775793650794
3388;evascape_aircraft_pw01_rich7_ab1_n9;Database_20240315_Desync/evascape_aircraft_pw01_rich7_ab1_n9.wav;9;aircraft_pw01;7;1;1;1;0;1;1;1;1;1;329.125381097561;4.465949235385211;348.04218;0.8043432366400408;0.53013194;1.8293503664512982;75.2149716553288
3389;evascape_aircraft_pw01_rich7_ab1_n10;Database_20240315_Desync/evascape_aircraft_pw01_rich7_ab1_n10.wav;10;aircraft_pw01;7;1;1;1;1;1;1;1;1;0;208.0792682926829;1.6533131291134338;322.73984;0.6666433177482985;-0.34249482;0.7800079416723237;41.61902777777778
3390;evascape_aircraft_pw02_rich7_ab1_n1;Database_20240315_Desync/evascape_aircraft_pw02_rich7_ab1_n1.wav;1;aircraft_pw02;7;1;1;1;1;1;1;1;0;1;217.0826981707317;1.780194420247774;344.11548;0.7657395810251695;-0.023642417;1.147249559697374;52.33931972789116
3391;evascape_aircraft_pw02_rich7_ab1_n2;Database_20240315_Desync/evascape_aircraft_pw02_rich7_ab1_n2.wav;2;aircraft_pw02;7;1;1;1;1;1;1;1;1;0;217.0826981707317;0.7761460148083624;311.9041;0.6465222084887932;-0.5002819;0.2115374355938599;33.357675736961454
3392;evascape_aircraft_pw02_rich7_ab1_n3;Database_20240315_Desync/evascape_aircraft_pw02_rich7_ab1_n3.wav;3;aircraft_pw02;7;1;1;1;0;1;1;1;1;1;271.1032774390244;2.943373741773132;336.4647;0.7311194436428212;-0.07749719;1.161080423157664;55.17825963718821
3393;evascape_aircraft_pw02_rich7_ab1_n4;Database_20240315_Desync/evascape_aircraft_pw02_rich7_ab1_n4.wav;4;aircraft_pw02;7;1;0;1;1;1;1;1;1;1;209.0796493902439;1.4417434910956253;323.85254;0.8214212278193521;0.14430499;1.5858195655700866;42.53718537414966
3394;evascape_aircraft_pw02_rich7_ab1_n5;Database_20240315_Desync/evascape_aircraft_pw02_rich7_ab1_n5.wav;5;aircraft_pw02;7;1;1;1;1;0;1;1;1;1;238.0907012195122;1.9713103102013165;331.35266;0.8317424310964201;0.29628724;1.5870114109973217;46.69979024943311
3395;evascape_aircraft_pw02_rich7_ab1_n6;Database_20240315_Desync/evascape_aircraft_pw02_rich7_ab1_n6.wav;6;aircraft_pw02;7;1;1;0;1;1;1;1;1;1;340.1295731707317;3.880314193766938;344.76465;0.786042596547922;0.42468563;1.7849086994680128;68.78066326530612
3396;evascape_aircraft_pw02_rich7_ab1_n7;Database_20240315_Desync/evascape_aircraft_pw02_rich7_ab1_n7.wav;7;aircraft_pw02;7;1;1;1;1;1;1;0;1;1;154.05868902439025;1.4004201146922184;332.75925;0.7527777434723979;0.16366853;1.2068924705448054;47.65748299319728
3397;evascape_aircraft_pw02_rich7_ab1_n8;Database_20240315_Desync/evascape_aircraft_pw02_rich7_ab1_n8.wav;8;aircraft_pw02;7;1;1;1;1;1;0;1;1;1;194.07393292682926;2.4046197493224932;331.16742;0.6828405965505097;0.5038912;1.4789998404659916;56.3299433106576
