filename;fullfilename;sample_id;channel2;richness;abundance;erirub;fricoe;perate;phycol;regreg;sylatr;turmer;turphi;nROI;aROI;ACI;H;NDSI;ADI;BI
Evascape_rain_pw03_rich6_ab1_n28;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n28.wav;28;rain_pw03;6;1;1;0;1;1;1;1;1;0;1.0003810975609757;0.0012854481223383;316.13458;0.8449872331789867;0.64600456;2.206024451662632;87.03210317460318
Evascape_wind_pw01_rich6_ab1_n1;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n1.wav;1;wind_pw01;6;1;1;1;0;1;0;1;1;1;179.06821646341464;1.6591732602593885;324.9988;0.8234497459219992;-0.034945168;1.0851686148036228;50.63482993197279
Evascape_wind_pw01_rich6_ab1_n2;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n2.wav;2;wind_pw01;6;1;1;0;1;1;1;1;0;1;142.05411585365854;0.6983385961091754;312.56244;0.8714473328673924;0.19843653;1.0323221087097796;35.11731009070295
Evascape_wind_pw01_rich6_ab1_n3;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n3.wav;3;wind_pw01;6;1;1;1;0;1;1;1;1;0;151.0575457317073;1.057205466027875;316.88303;0.8391834538251527;-0.006371704;0.7759642288184414;38.91751984126984
Evascape_wind_pw01_rich6_ab1_n4;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n4.wav;4;wind_pw01;6;1;0;1;0;1;1;1;1;1;246.09375;4.020995148567557;340.02402;0.816463742534426;0.39397946;1.8218166299328464;77.35286848072562
Evascape_wind_pw01_rich6_ab1_n5;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n5.wav;5;wind_pw01;6;1;1;1;0;1;1;0;1;1;230.0876524390244;3.4720331857336437;342.4019;0.8195824343204362;0.39675993;1.7982470303070983;71.06430839002267
Evascape_wind_pw01_rich6_ab1_n6;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n6.wav;6;wind_pw01;6;1;1;1;1;0;1;1;0;1;121.04611280487804;1.4769042779713513;318.4756;0.7684212218286699;0.23856632;1.3875734547917573;45.610266439909296
Evascape_wind_pw01_rich6_ab1_n7;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n7.wav;7;wind_pw01;6;1;1;0;1;0;1;1;1;1;213.0811737804878;1.9648830695896249;331.62515;0.8537164100470515;0.222206;1.4240533887058149;48.67270408163265
Evascape_wind_pw01_rich6_ab1_n8;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n8.wav;8;wind_pw01;6;1;1;0;1;1;0;1;1;1;233.0887957317073;1.3165635283584978;329.20618;0.801449421291012;-0.12929392;0.8604281660027859;45.22187074829932
Evascape_wind_pw01_rich6_ab1_n9;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n9.wav;9;wind_pw01;6;1;1;1;1;1;0;1;1;0;170.06478658536585;0.6237069904181184;308.08728;0.8879126108497388;0.15891968;0.9242096714887116;33.35860260770975
Evascape_wind_pw01_rich6_ab1_n10;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n10.wav;10;wind_pw01;6;1;0;1;1;1;1;1;0;1;118.04496951219512;2.188740079365079;346.9762;0.8227188493165942;0.3722614;1.851636342890672;60.43008503401361
Evascape_wind_pw01_rich6_ab1_n11;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n11.wav;11;wind_pw01;6;1;1;1;1;1;1;0;0;1;120.04573170731707;1.699400225029036;333.49036;0.8010712431216138;0.051800963;1.1111183722507307;54.17921768707483
Evascape_wind_pw01_rich6_ab1_n12;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n12.wav;12;wind_pw01;6;1;1;1;1;1;1;0;1;0;87.03315548780488;0.4705118200735578;310.6842;0.9003352745419343;0.18559806;0.963895337493097;31.763812358276645
Evascape_wind_pw01_rich6_ab1_n13;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n13.wav;13;wind_pw01;6;1;0;0;1;1;1;1;1;1;279.1063262195122;2.390026132404181;333.9466;0.7963579418001068;0.11781542;1.3628999542544276;63.74406462585034
Evascape_wind_pw01_rich6_ab1_n14;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n14.wav;14;wind_pw01;6;1;0;1;1;1;1;0;1;1;190.07240853658536;2.7698760525551687;344.0426;0.8292513558438908;0.35575598;1.80516441831092;57.55579365079365
Evascape_wind_pw01_rich6_ab1_n15;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n15.wav;15;wind_pw01;6;1;1;1;1;1;0;1;0;1;188.0716463414634;1.330892494192799;325.4374;0.8385475796293744;0.20776182;1.2113021398681982;44.54056689342404
Evascape_wind_pw01_rich6_ab1_n16;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n16.wav;16;wind_pw01;6;1;1;0;1;1;1;1;1;0;189.0720274390244;0.7200021777003485;314.55322;0.8271082041319385;0.076511934;0.9128664740364334;35.5227380952381
Evascape_wind_pw01_rich6_ab1_n17;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n17.wav;17;wind_pw01;6;1;1;1;1;1;1;1;0;0;159.0605945121951;1.277092709543167;319.91562;0.8214236174326248;-0.0009084701;0.8561325980780219;45.50687641723356
Evascape_wind_pw01_rich6_ab1_n18;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_wind_pw01_rich6_ab1_n18.wav;18;wind_pw01;6;1;1;1;1;0;1;0;1;1;176.0670731707317;1.6327081518583042;333.76263;0.8301789895561817;0.13810953;1.2504282329201348;47.51521541950113
